Target Key,Mode,Bit Position,Probe Latency
0,Baseline,7,426.0
0,Baseline,6,426.0
0,Baseline,5,426.0
0,Baseline,4,426.0
0,Baseline,3,426.0
0,Baseline,2,426.0
0,Baseline,1,1145.0
0,Baseline,0,426.0
0,vID,7,485.0
0,vID,6,485.0
0,vID,5,1145.0
0,vID,4,485.0
0,vID,3,485.0
0,vID,2,485.0
0,vID,1,485.0
0,vID,0,485.0
0,vGLO,7,485.0
0,vGLO,6,485.0
0,vGLO,5,1145.0
0,vGLO,4,485.0
0,vGLO,3,485.0
0,vGLO,2,485.0
0,vGLO,1,485.0
0,vGLO,0,485.0
0,Baseline,7,426.0
0,Baseline,6,426.0
0,Baseline,5,426.0
0,Baseline,4,426.0
0,Baseline,3,426.0
0,Baseline,2,426.0
0,Baseline,1,1145.0
0,Baseline,0,426.0
0,Baseline,7,686.0
0,Baseline,6,426.0
0,Baseline,5,426.0
0,Baseline,4,426.0
0,Baseline,3,426.0
0,Baseline,2,426.0
0,Baseline,1,1145.0
0,Baseline,0,426.0
