Target_Key,Mode,Threshold,Recovered,Status
0x00,Baseline,455,0x00,
0x00,vID,455,0xff,
0x00,vGLO,455,0xff,
0x01,Baseline,455,0x01,
0x01,vID,455,0xff,
0x01,vGLO,455,0xff,
0x02,Baseline,455,0x02,
0x02,vID,455,0xff,
0x02,vGLO,455,0xff,
0x03,Baseline,455,0x03,
0x03,vID,455,0xff,
0x03,vGLO,455,0xff,
0x04,Baseline,455,0x04,
0x04,vID,455,0xff,
0x04,vGLO,455,0xff,
0x05,Baseline,455,0x05,
0x05,vID,455,0xff,
0x05,vGLO,455,0xff,
0x06,Baseline,455,0x06,
0x06,vID,455,0xff,
0x06,vGLO,455,0xff,
0x07,Baseline,455,0x07,
0x07,vID,455,0xff,
0x07,vGLO,455,0xff,
0x08,Baseline,455,0x08,
0x08,vID,455,0xff,
0x08,vGLO,455,0xff,
0x09,Baseline,455,0x09,
0x09,vID,455,0xff,
0x09,vGLO,455,0xff,
0x0a,Baseline,455,0x0a,
0x0a,vID,455,0xff,
0x0a,vGLO,455,0xff,
0x0b,Baseline,455,0x0b,
0x0b,vID,455,0xff,
0x0b,vGLO,455,0xff,
0x0c,Baseline,455,0x0c,
0x0c,vID,455,0xff,
0x0c,vGLO,455,0xff,
0x0d,Baseline,455,0x0d,
0x0d,vID,455,0xff,
0x0d,vGLO,455,0xff,
0x0e,Baseline,455,0x0e,
0x0e,vID,455,0xff,
0x0e,vGLO,455,0xff,
0x0f,Baseline,455,0x0f,
0x0f,vID,455,0xff,
0x0f,vGLO,455,0xff,
0x10,Baseline,455,0x10,
0x10,vID,455,0xff,
0x10,vGLO,455,0xff,
0x11,Baseline,455,0x11,
0x11,vID,455,0xff,
0x11,vGLO,455,0xff,
0x12,Baseline,455,0x12,
0x12,vID,455,0xff,
0x12,vGLO,455,0xff,
0x13,Baseline,455,0x13,
0x13,vID,455,0xff,
0x13,vGLO,455,0xff,
0x14,Baseline,455,0x14,
0x14,vID,455,0xff,
0x14,vGLO,455,0xff,
0x15,Baseline,455,0x15,
0x15,vID,455,0xff,
0x15,vGLO,455,0xff,
0x16,Baseline,455,0x16,
0x16,vID,455,0xff,
0x16,vGLO,455,0xff,
0x17,Baseline,455,0x17,
0x17,vID,455,0xff,
0x17,vGLO,455,0xff,
0x18,Baseline,455,0x18,
0x18,vID,455,0xff,
0x18,vGLO,455,0xff,
0x19,Baseline,455,0x19,
0x19,vID,455,0xff,
0x19,vGLO,455,0xff,
0x1a,Baseline,455,0x1a,
0x1a,vID,455,0xff,
0x1a,vGLO,455,0xff,
0x1b,Baseline,455,0x1b,
0x1b,vID,455,0xff,
0x1b,vGLO,455,0xff,
0x1c,Baseline,455,0x1c,
0x1c,vID,455,0xff,
0x1c,vGLO,455,0xff,
0x1d,Baseline,455,0x1d,
0x1d,vID,455,0xff,
0x1d,vGLO,455,0xff,
0x1e,Baseline,455,0x1e,
0x1e,vID,455,0xff,
0x1e,vGLO,455,0xff,
0x1f,Baseline,455,0x1f,
0x1f,vID,455,0xff,
0x1f,vGLO,455,0xff,
0x20,Baseline,455,0x20,
0x20,vID,455,0xff,
0x20,vGLO,455,0xff,
0x21,Baseline,455,0x21,
0x21,vID,455,0xff,
0x21,vGLO,455,0xff,
0x22,Baseline,455,0x22,
0x22,vID,455,0xff,
0x22,vGLO,455,0xff,
0x23,Baseline,455,0x23,
0x23,vID,455,0xff,
0x23,vGLO,455,0xff,
0x24,Baseline,455,0x24,
0x24,vID,455,0xff,
0x24,vGLO,455,0xff,
0x25,Baseline,455,0x25,
0x25,vID,455,0xff,
0x25,vGLO,455,0xff,
0x26,Baseline,455,0x26,
0x26,vID,455,0xff,
0x26,vGLO,455,0xff,
0x27,Baseline,455,0x27,
0x27,vID,455,0xff,
0x27,vGLO,455,0xff,
0x28,Baseline,455,0x28,
0x28,vID,455,0xff,
0x28,vGLO,455,0xff,
0x29,Baseline,455,0x29,
0x29,vID,455,0xff,
0x29,vGLO,455,0xff,
0x2a,Baseline,455,0x2a,
0x2a,vID,455,0xff,
0x2a,vGLO,455,0xff,
0x2b,Baseline,455,0x2b,
0x2b,vID,455,0xff,
0x2b,vGLO,455,0xff,
0x2c,Baseline,455,0x2c,
0x2c,vID,455,0xff,
0x2c,vGLO,455,0xff,
0x2d,Baseline,455,0x2d,
0x2d,vID,455,0xff,
0x2d,vGLO,455,0xff,
0x2e,Baseline,455,0x2e,
0x2e,vID,455,0xff,
0x2e,vGLO,455,0xff,
0x2f,Baseline,455,0x2f,
0x2f,vID,455,0xff,
0x2f,vGLO,455,0xff,
0x30,Baseline,455,0x30,
0x30,vID,455,0xff,
0x30,vGLO,455,0xff,
0x31,Baseline,455,0x31,
0x31,vID,455,0xff,
0x31,vGLO,455,0xff,
0x32,Baseline,455,0x32,
0x32,vID,455,0xff,
0x32,vGLO,455,0xff,
0x33,Baseline,455,0x33,
0x33,vID,455,0xff,
0x33,vGLO,455,0xff,
0x34,Baseline,455,0x34,
0x34,vID,455,0xff,
0x34,vGLO,455,0xff,
0x35,Baseline,455,0x35,
0x35,vID,455,0xff,
0x35,vGLO,455,0xff,
0x36,Baseline,455,0x36,
0x36,vID,455,0xff,
0x36,vGLO,455,0xff,
0x37,Baseline,455,0x37,
0x37,vID,455,0xff,
0x37,vGLO,455,0xff,
0x38,Baseline,455,0x38,
0x38,vID,455,0xff,
0x38,vGLO,455,0xff,
0x39,Baseline,455,0x39,
0x39,vID,455,0xff,
0x39,vGLO,455,0xff,
0x3a,Baseline,455,0x3a,
0x3a,vID,455,0xff,
0x3a,vGLO,455,0xff,
0x3b,Baseline,455,0x3b,
0x3b,vID,455,0xff,
0x3b,vGLO,455,0xff,
0x3c,Baseline,455,0x3c,
0x3c,vID,455,0xff,
0x3c,vGLO,455,0xff,
0x3d,Baseline,455,0x3d,
0x3d,vID,455,0xff,
0x3d,vGLO,455,0xff,
0x3e,Baseline,455,0x3e,
0x3e,vID,455,0xff,
0x3e,vGLO,455,0xff,
0x3f,Baseline,455,0x3f,
0x3f,vID,455,0xff,
0x3f,vGLO,455,0xff,
0x40,Baseline,455,0x40,
0x40,vID,455,0xff,
0x40,vGLO,455,0xff,
0x41,Baseline,455,0x41,
0x41,vID,455,0xff,
0x41,vGLO,455,0xff,
0x42,Baseline,455,0x42,
0x42,vID,455,0xff,
0x42,vGLO,455,0xff,
0x43,Baseline,455,0x43,
0x43,vID,455,0xff,
0x43,vGLO,455,0xff,
0x44,Baseline,455,0x44,
0x44,vID,455,0xff,
