
---------- Begin Simulation Statistics ----------
simSeconds                                   6.311392                       # Number of seconds simulated (Second)
simTicks                                 6311391669288                       # Number of ticks simulated (Tick)
finalTick                                100503963263502                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5583.33                       # Real time elapsed on the host (Second)
hostTickRate                               1130399017                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    3845120                       # Number of bytes of host memory used (Byte)
simInsts                                   9090745910                       # Number of instructions simulated (Count)
simOps                                    16541591985                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                  1628194                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                    2962674                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
board.apicbridge.power_state.pwrStateResidencyTicks::UNDEFINED 100503963263502                       # Cumulative time (in ticks) in various power states (Tick)
board.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 100503963263502                       # Cumulative time (in ticks) in various power states (Tick)
board.cache_hierarchy.membus.transDist::ReadReq      8473122                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::ReadResp     17256462                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::WriteReq        74619                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::WriteResp        74619                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::WritebackDirty      5745463                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::CleanEvict      6176331                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::UpgradeReq       106206                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::ReadExReq      3311715                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::ReadExResp      3201984                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::ReadSharedReq      8783341                       # Transaction distribution (Count)
board.cache_hierarchy.membus.pktCount_board.apicbridge.mem_side_port::board.processor.start0.core.interrupts.int_responder           30                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.apicbridge.mem_side_port::board.processor.start1.core.interrupts.int_responder          944                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.apicbridge.mem_side_port::total          974                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::board.bridge.cpu_side_port       125760                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::board.memory.mem_ctrl0.port     21852326                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::board.memory.mem_ctrl1.port     14256054                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::board.processor.start0.core.interrupts.pio        12758                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::board.processor.start1.core.interrupts.pio        13646                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::total     36260544                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.itb.walker.port::board.memory.mem_ctrl0.port        86585                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.itb.walker.port::board.memory.mem_ctrl1.port       205320                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.itb.walker.port::total       291905                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.dtb.walker.port::board.memory.mem_ctrl0.port      2964412                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.dtb.walker.port::board.memory.mem_ctrl1.port      5555301                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.dtb.walker.port::total      8519713                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.interrupts.int_requestor::board.processor.start1.core.interrupts.int_responder           38                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.interrupts.int_requestor::total           38                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.itb.walker.port::board.memory.mem_ctrl0.port        81495                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.itb.walker.port::board.memory.mem_ctrl1.port       196052                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.itb.walker.port::total       277547                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.dtb.walker.port::board.memory.mem_ctrl0.port      2618282                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.dtb.walker.port::board.memory.mem_ctrl1.port      5233210                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.dtb.walker.port::total      7851492                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.interrupts.int_requestor::board.processor.start0.core.interrupts.int_responder           14                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.interrupts.int_requestor::total           14                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount::total     53202227                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktSize_board.apicbridge.mem_side_port::board.processor.start0.core.interrupts.int_responder           60                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.apicbridge.mem_side_port::board.processor.start1.core.interrupts.int_responder         1888                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.apicbridge.mem_side_port::total         1948                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.l3cache.mem_side_port::board.bridge.cpu_side_port       244128                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.l3cache.mem_side_port::board.memory.mem_ctrl0.port    663007808                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.l3cache.mem_side_port::board.memory.mem_ctrl1.port    471762560                       # Cumulative packet size per connected requestor and responder (Byte)
