
---------- Begin Simulation Statistics ----------
simSeconds                                   6.058087                       # Number of seconds simulated (Second)
simTicks                                 6058087105743                       # Number of ticks simulated (Tick)
finalTick                                104215993139547                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2391.90                       # Real time elapsed on the host (Second)
hostTickRate                               2532751118                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    3853040                       # Number of bytes of host memory used (Byte)
simInsts                                   1825631562                       # Number of instructions simulated (Count)
simOps                                     3189018181                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   763256                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                    1333257                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
board.apicbridge.power_state.pwrStateResidencyTicks::UNDEFINED 104215993139547                       # Cumulative time (in ticks) in various power states (Tick)
board.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 104215993139547                       # Cumulative time (in ticks) in various power states (Tick)
board.cache_hierarchy.membus.transDist::ReadReq    132684935                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::ReadResp    151653740                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::WriteReq        18307                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::WriteResp        18307                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::WritebackDirty     15307545                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::CleanEvict     18634987                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::UpgradeReq         8132                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::ReadExReq     15223683                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::ReadExResp     15215524                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::ReadSharedReq     18968806                       # Transaction distribution (Count)
board.cache_hierarchy.membus.pktCount_board.apicbridge.mem_side_port::board.processor.start0.core.interrupts.int_responder          112                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.apicbridge.mem_side_port::board.processor.start1.core.interrupts.int_responder          914                       # Packet count per connected requestor and responder (Count)
