
---------- Begin Simulation Statistics ----------
simSeconds                                  33.684799                       # Number of seconds simulated (Second)
simTicks                                 33684798871944                       # Number of ticks simulated (Tick)
finalTick                                128376606682206                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  32068.91                       # Real time elapsed on the host (Second)
hostTickRate                               1050388163                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4145352                       # Number of bytes of host memory used (Byte)
simInsts                                  38007488923                       # Number of instructions simulated (Count)
simOps                                    61919427240                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                  1185182                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                    1930824                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
board.apicbridge.power_state.pwrStateResidencyTicks::UNDEFINED 128376606682206                       # Cumulative time (in ticks) in various power states (Tick)
board.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 128376606682206                       # Cumulative time (in ticks) in various power states (Tick)
board.cache_hierarchy.membus.transDist::ReadReq    112714663                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::ReadResp    132904184                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::WriteReq     66961241                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::WriteResp     66961241                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::WritebackDirty     10032729                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::CleanEvict     18281326                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::UpgradeReq       598783                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::ReadExReq      8726648                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::ReadExResp      8629289                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::ReadSharedReq     20189522                       # Transaction distribution (Count)
board.cache_hierarchy.membus.pktCount_board.apicbridge.mem_side_port::board.processor.start0.core.interrupts.int_responder      1019276                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.apicbridge.mem_side_port::board.processor.start1.core.interrupts.int_responder         1170                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.apicbridge.mem_side_port::total      1020446                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::board.bridge.cpu_side_port    135772968                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::board.memory.mem_ctrl0.port     43343362                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::board.memory.mem_ctrl1.port     43304457                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::board.processor.start0.core.interrupts.pio      1185066                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::board.processor.start1.core.interrupts.pio       155716                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::total    223761569                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.itb.walker.port::board.memory.mem_ctrl0.port      3697451                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.itb.walker.port::board.memory.mem_ctrl1.port      3516350                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.itb.walker.port::total      7213801                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.dtb.walker.port::board.memory.mem_ctrl0.port     30396062                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.dtb.walker.port::board.memory.mem_ctrl1.port     19028136                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.dtb.walker.port::total     49424198                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.interrupts.int_requestor::board.processor.start1.core.interrupts.int_responder        26026                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.interrupts.int_requestor::total        26026                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.itb.walker.port::board.memory.mem_ctrl0.port     10471461                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.itb.walker.port::board.memory.mem_ctrl1.port     10693319                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.itb.walker.port::total     21164780                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.dtb.walker.port::board.memory.mem_ctrl0.port     90924323                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.dtb.walker.port::board.memory.mem_ctrl1.port     51380632                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.dtb.walker.port::total    142304955                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.interrupts.int_requestor::board.processor.start0.core.interrupts.int_responder        20382                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.interrupts.int_requestor::total        20382                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount::total    444936157                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktSize_board.apicbridge.mem_side_port::board.processor.start0.core.interrupts.int_responder      2038552                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.apicbridge.mem_side_port::board.processor.start1.core.interrupts.int_responder         2340                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.apicbridge.mem_side_port::total      2040892                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.l3cache.mem_side_port::board.bridge.cpu_side_port    263803326                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.l3cache.mem_side_port::board.memory.mem_ctrl0.port   1243272832                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.l3cache.mem_side_port::board.memory.mem_ctrl1.port   1243225728                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.l3cache.mem_side_port::board.processor.start0.core.interrupts.pio      2370132                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.l3cache.mem_side_port::board.processor.start1.core.interrupts.pio       311432                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.l3cache.mem_side_port::total   2752983450                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start0.core.mmu.itb.walker.port::board.memory.mem_ctrl0.port     14788824                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start0.core.mmu.itb.walker.port::board.memory.mem_ctrl1.port     14065256                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start0.core.mmu.itb.walker.port::total     28854080                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start0.core.mmu.dtb.walker.port::board.memory.mem_ctrl0.port    120632088                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start0.core.mmu.dtb.walker.port::board.memory.mem_ctrl1.port     75187624                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start0.core.mmu.dtb.walker.port::total    195819712                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start0.core.interrupts.int_requestor::board.processor.start1.core.interrupts.int_responder        52052                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start0.core.interrupts.int_requestor::total        52052                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start1.core.mmu.itb.walker.port::board.memory.mem_ctrl0.port     41884192                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start1.core.mmu.itb.walker.port::board.memory.mem_ctrl1.port     42773040                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start1.core.mmu.itb.walker.port::total     84657232                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start1.core.mmu.dtb.walker.port::board.memory.mem_ctrl0.port    362464600                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start1.core.mmu.dtb.walker.port::board.memory.mem_ctrl1.port    204381432                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start1.core.mmu.dtb.walker.port::total    566846032                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start1.core.interrupts.int_requestor::board.processor.start0.core.interrupts.int_responder        40764                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start1.core.interrupts.int_requestor::total        40764                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize::total   3631294214                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.snoops           1489996                       # Total snoops (Count)
board.cache_hierarchy.membus.snoopTraffic      8507752                       # Total snoop traffic (Byte)
board.cache_hierarchy.membus.snoopFanout::samples    209190857                       # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::mean     0.034650                       # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::stdev     0.182891                       # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::underflows            0      0.00%      0.00% # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::0    201942445     96.54%     96.54% # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::1      7248412      3.46%    100.00% # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::overflows            0      0.00%    100.00% # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::min_value            0                       # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::max_value            1                       # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::total    209190857                       # Request fanout histogram (Count)
board.cache_hierarchy.membus.power_state.pwrStateResidencyTicks::UNDEFINED 128376606682206                       # Cumulative time (in ticks) in various power states (Tick)
board.cache_hierarchy.membus.reqLayer0.occupancy  44511678168                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.reqLayer0.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.reqLayer1.occupancy  35375119564                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.reqLayer1.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.reqLayer2.occupancy  26974260737                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.reqLayer2.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.reqLayer3.occupancy    390301617                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.reqLayer3.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.reqLayer4.occupancy    350104099                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.reqLayer4.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.reqLayer5.occupancy     48460488                       # Layer occupancy (ticks) (Tick)
