
---------- Begin Simulation Statistics ----------
simSeconds                                  22.485541                       # Number of seconds simulated (Second)
simTicks                                 22485541191426                       # Number of ticks simulated (Tick)
finalTick                                116226920736333                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  23813.71                       # Real time elapsed on the host (Second)
hostTickRate                                944226663                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    3837020                       # Number of bytes of host memory used (Byte)
simInsts                                  31588694703                       # Number of instructions simulated (Count)
simOps                                    54941101605                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                  1326492                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                    2307120                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
board.apicbridge.power_state.pwrStateResidencyTicks::UNDEFINED 116226920736333                       # Cumulative time (in ticks) in various power states (Tick)
board.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 116226920736333                       # Cumulative time (in ticks) in various power states (Tick)
board.cache_hierarchy.membus.transDist::ReadReq     79851479                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::ReadResp     90554969                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::WriteReq       108419                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::WriteResp       108419                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::WritebackDirty      5602100                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::CleanEvict     10076132                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::UpgradeReq        71384                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::ReadExReq      5199604                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::ReadExResp      5186767                       # Transaction distribution (Count)
board.cache_hierarchy.membus.transDist::ReadSharedReq     10703490                       # Transaction distribution (Count)
board.cache_hierarchy.membus.pktCount_board.apicbridge.mem_side_port::board.processor.start0.core.interrupts.int_responder           50                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.apicbridge.mem_side_port::board.processor.start1.core.interrupts.int_responder         1440                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.apicbridge.mem_side_port::total         1490                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::board.bridge.cpu_side_port       191836                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::board.memory.mem_ctrl0.port     23742102                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::board.memory.mem_ctrl1.port     23800865                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::board.processor.start0.core.interrupts.pio        45898                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::board.processor.start1.core.interrupts.pio        47058                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.l3cache.mem_side_port::total     47827759                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.itb.walker.port::board.memory.mem_ctrl0.port      1116254                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.itb.walker.port::board.memory.mem_ctrl1.port      1439326                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.itb.walker.port::total      2555580                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.dtb.walker.port::board.memory.mem_ctrl0.port     39997213                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.dtb.walker.port::board.memory.mem_ctrl1.port     39585086                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.mmu.dtb.walker.port::total     79582299                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.interrupts.int_requestor::board.processor.start1.core.interrupts.int_responder          262                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start0.core.interrupts.int_requestor::total          262                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.itb.walker.port::board.memory.mem_ctrl0.port       627116                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.itb.walker.port::board.memory.mem_ctrl1.port      1035220                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.itb.walker.port::total      1662336                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.dtb.walker.port::board.memory.mem_ctrl0.port     33312953                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.dtb.walker.port::board.memory.mem_ctrl1.port     36708934                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.mmu.dtb.walker.port::total     70021887                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.interrupts.int_requestor::board.processor.start0.core.interrupts.int_responder          128                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount_board.processor.start1.core.interrupts.int_requestor::total          128                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktCount::total    201651741                       # Packet count per connected requestor and responder (Count)
board.cache_hierarchy.membus.pktSize_board.apicbridge.mem_side_port::board.processor.start0.core.interrupts.int_responder          100                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.apicbridge.mem_side_port::board.processor.start1.core.interrupts.int_responder         2880                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.apicbridge.mem_side_port::total         2980                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.l3cache.mem_side_port::board.bridge.cpu_side_port       372398                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.l3cache.mem_side_port::board.memory.mem_ctrl0.port    687403584                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.l3cache.mem_side_port::board.memory.mem_ctrl1.port    688107264                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.l3cache.mem_side_port::board.processor.start0.core.interrupts.pio        91796                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.l3cache.mem_side_port::board.processor.start1.core.interrupts.pio        94116                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.l3cache.mem_side_port::total   1376069158                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start0.core.mmu.itb.walker.port::board.memory.mem_ctrl0.port      4464896                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start0.core.mmu.itb.walker.port::board.memory.mem_ctrl1.port      5755864                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start0.core.mmu.itb.walker.port::total     10220760                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start0.core.mmu.dtb.walker.port::board.memory.mem_ctrl0.port    155717648                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start0.core.mmu.dtb.walker.port::board.memory.mem_ctrl1.port    151234320                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start0.core.mmu.dtb.walker.port::total    306951968                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start0.core.interrupts.int_requestor::board.processor.start1.core.interrupts.int_responder          524                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start0.core.interrupts.int_requestor::total          524                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start1.core.mmu.itb.walker.port::board.memory.mem_ctrl0.port      2508464                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start1.core.mmu.itb.walker.port::board.memory.mem_ctrl1.port      4140064                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start1.core.mmu.itb.walker.port::total      6648528                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start1.core.mmu.dtb.walker.port::board.memory.mem_ctrl0.port    129679936                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start1.core.mmu.dtb.walker.port::board.memory.mem_ctrl1.port    138543128                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start1.core.mmu.dtb.walker.port::total    268223064                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start1.core.interrupts.int_requestor::board.processor.start0.core.interrupts.int_responder          256                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize_board.processor.start1.core.interrupts.int_requestor::total          256                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.pktSize::total   1968117238                       # Cumulative packet size per connected requestor and responder (Byte)
board.cache_hierarchy.membus.snoops           5857660                       # Total snoops (Count)
board.cache_hierarchy.membus.snoopTraffic     46488176                       # Total snoop traffic (Byte)
board.cache_hierarchy.membus.snoopFanout::samples     95934376                       # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::mean     0.276459                       # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::stdev     0.447246                       # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::underflows            0      0.00%      0.00% # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::0     69412481     72.35%     72.35% # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::1     26521895     27.65%    100.00% # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::overflows            0      0.00%    100.00% # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::min_value            0                       # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::max_value            1                       # Request fanout histogram (Count)
board.cache_hierarchy.membus.snoopFanout::total     95934376                       # Request fanout histogram (Count)
board.cache_hierarchy.membus.power_state.pwrStateResidencyTicks::UNDEFINED 116226920736333                       # Cumulative time (in ticks) in various power states (Tick)
board.cache_hierarchy.membus.reqLayer0.occupancy     52318962                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.reqLayer0.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.reqLayer1.occupancy  19515752932                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.reqLayer1.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.reqLayer2.occupancy  20478454142                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.reqLayer2.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.reqLayer3.occupancy     15240411                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.reqLayer3.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.reqLayer4.occupancy        85497                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.reqLayer4.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.reqLayer5.occupancy     15649334                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.reqLayer5.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.reqLayer6.occupancy       610978                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.reqLayer6.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.respLayer0.occupancy       420039                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.respLayer0.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.respLayer2.occupancy  13599833396                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.respLayer2.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.respLayer3.occupancy   1084319361                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.respLayer3.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.respLayer4.occupancy  33716903046                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.respLayer4.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.respLayer5.occupancy        74015                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.respLayer5.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.respLayer6.occupancy    703294478                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.respLayer6.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.respLayer7.occupancy  29672316314                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.respLayer7.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.respLayer8.occupancy        36160                       # Layer occupancy (ticks) (Tick)
board.cache_hierarchy.membus.respLayer8.utilization          0.0                       # Layer utilization (Ratio)
board.cache_hierarchy.membus.snoop_filter.totRequests     58174605                       # Total number of requests made to the snoop filter. (Count)
board.cache_hierarchy.membus.snoop_filter.hitSingleRequests     42496578                       # Number of requests hitting in the snoop filter with a single holder of the requested data. (Count)
board.cache_hierarchy.membus.snoop_filter.hitMultiRequests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
board.cache_hierarchy.membus.snoop_filter.totSnoops            0                       # Total number of snoops made to the snoop filter. (Count)
board.cache_hierarchy.membus.snoop_filter.hitSingleSnoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data. (Count)
board.cache_hierarchy.membus.snoop_filter.hitMultiSnoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
board.clk_domain.clock                            333                       # Clock period in ticks (Tick)
board.clk_domain.voltage_domain.voltage             1                       # Voltage in Volts (Volt)
board.iobus.transDist::ReadReq                  34722                       # Transaction distribution (Count)
board.iobus.transDist::ReadResp                 34722                       # Transaction distribution (Count)
board.iobus.transDist::WriteReq                 61941                       # Transaction distribution (Count)
board.iobus.transDist::WriteResp                61941                       # Transaction distribution (Count)
board.iobus.pktCount_board.bridge.mem_side_port::board.pc.south_bridge.ide.pio       191632                       # Packet count per connected requestor and responder (Count)
board.iobus.pktCount_board.bridge.mem_side_port::board.pc.com_1.pio          204                       # Packet count per connected requestor and responder (Count)
board.iobus.pktCount_board.bridge.mem_side_port::total       191836                       # Packet count per connected requestor and responder (Count)
board.iobus.pktCount_board.pc.south_bridge.io_apic.int_request::board.apicbridge.cpu_side_port         1490                       # Packet count per connected requestor and responder (Count)
board.iobus.pktCount_board.pc.south_bridge.io_apic.int_request::total         1490                       # Packet count per connected requestor and responder (Count)
board.iobus.pktCount::total                    193326                       # Packet count per connected requestor and responder (Count)
board.iobus.pktSize_board.bridge.mem_side_port::board.pc.south_bridge.ide.pio       372296                       # Cumulative packet size per connected requestor and responder (Byte)
board.iobus.pktSize_board.bridge.mem_side_port::board.pc.com_1.pio          102                       # Cumulative packet size per connected requestor and responder (Byte)
board.iobus.pktSize_board.bridge.mem_side_port::total       372398                       # Cumulative packet size per connected requestor and responder (Byte)
board.iobus.pktSize_board.pc.south_bridge.io_apic.int_request::board.apicbridge.cpu_side_port         2980                       # Cumulative packet size per connected requestor and responder (Byte)
board.iobus.pktSize_board.pc.south_bridge.io_apic.int_request::total         2980                       # Cumulative packet size per connected requestor and responder (Byte)
board.iobus.pktSize::total                     375378                       # Cumulative packet size per connected requestor and responder (Byte)
board.iobus.power_state.pwrStateResidencyTicks::UNDEFINED 116226920736333                       # Cumulative time (in ticks) in various power states (Tick)
board.iobus.reqLayer0.occupancy                738560                       # Layer occupancy (ticks) (Tick)
board.iobus.reqLayer0.utilization                 0.0                       # Layer utilization (Ratio)
board.iobus.reqLayer10.occupancy                43290                       # Layer occupancy (ticks) (Tick)
board.iobus.reqLayer10.utilization                0.0                       # Layer utilization (Ratio)
board.iobus.reqLayer3.occupancy              52275672                       # Layer occupancy (ticks) (Tick)
board.iobus.reqLayer3.utilization                 0.0                       # Layer utilization (Ratio)
board.iobus.respLayer0.occupancy             72559134                       # Layer occupancy (ticks) (Tick)
board.iobus.respLayer0.utilization                0.0                       # Layer utilization (Ratio)
board.iobus.respLayer2.occupancy               248085                       # Layer occupancy (ticks) (Tick)
board.iobus.respLayer2.utilization                0.0                       # Layer utilization (Ratio)
board.l3bus.transDist::ReadReq               26556812                       # Transaction distribution (Count)
board.l3bus.transDist::ReadResp              22670508                       # Transaction distribution (Count)
board.l3bus.transDist::WriteReq                107479                       # Transaction distribution (Count)
board.l3bus.transDist::WriteResp               107479                       # Transaction distribution (Count)
board.l3bus.transDist::WritebackDirty        14664337                       # Transaction distribution (Count)
board.l3bus.transDist::CleanEvict            28325163                       # Transaction distribution (Count)
board.l3bus.transDist::UpgradeReq              158725                       # Transaction distribution (Count)
board.l3bus.transDist::UpgradeResp             158725                       # Transaction distribution (Count)
board.l3bus.transDist::ReadExReq              6044164                       # Transaction distribution (Count)
board.l3bus.transDist::ReadExResp             6044164                       # Transaction distribution (Count)
board.l3bus.transDist::ReadSharedReq         19636352                       # Transaction distribution (Count)
board.l3bus.pktCount_board.processor.start0.l2cache.mem_side_port::board.l3cache.cpu_side_port     43368337                       # Packet count per connected requestor and responder (Count)
board.l3bus.pktCount_board.processor.start1.l2cache.mem_side_port::board.l3cache.cpu_side_port     36936018                       # Packet count per connected requestor and responder (Count)
board.l3bus.pktCount::total                  80304355                       # Packet count per connected requestor and responder (Count)
board.l3bus.pktSize_board.processor.start0.l2cache.mem_side_port::board.l3cache.cpu_side_port   1215878012                       # Cumulative packet size per connected requestor and responder (Byte)
board.l3bus.pktSize_board.processor.start1.l2cache.mem_side_port::board.l3cache.cpu_side_port   1022427554                       # Cumulative packet size per connected requestor and responder (Byte)
board.l3bus.pktSize::total                 2238305566                       # Cumulative packet size per connected requestor and responder (Byte)
board.l3bus.snoops                           47168792                       # Total snoops (Count)
board.l3bus.snoopTraffic                    392311160                       # Total snoop traffic (Byte)
board.l3bus.snoopFanout::samples             69964532                       # Request fanout histogram (Count)
board.l3bus.snoopFanout::mean                0.556400                       # Request fanout histogram (Count)
board.l3bus.snoopFanout::stdev               0.751316                       # Request fanout histogram (Count)
board.l3bus.snoopFanout::underflows                 0      0.00%      0.00% # Request fanout histogram (Count)
board.l3bus.snoopFanout::0                   42148622     60.24%     60.24% # Request fanout histogram (Count)
board.l3bus.snoopFanout::1                   16703583     23.87%     84.12% # Request fanout histogram (Count)
board.l3bus.snoopFanout::2                   11112327     15.88%    100.00% # Request fanout histogram (Count)
board.l3bus.snoopFanout::overflows                  0      0.00%    100.00% # Request fanout histogram (Count)
board.l3bus.snoopFanout::min_value                  0                       # Request fanout histogram (Count)
board.l3bus.snoopFanout::max_value                  2                       # Request fanout histogram (Count)
board.l3bus.snoopFanout::total               69964532                       # Request fanout histogram (Count)
board.l3bus.power_state.pwrStateResidencyTicks::UNDEFINED 116226920736333                       # Cumulative time (in ticks) in various power states (Tick)
board.l3bus.reqLayer0.occupancy           23224126926                       # Layer occupancy (ticks) (Tick)
board.l3bus.reqLayer0.utilization                 0.0                       # Layer utilization (Ratio)
board.l3bus.respLayer0.occupancy          13901116550                       # Layer occupancy (ticks) (Tick)
board.l3bus.respLayer0.utilization                0.0                       # Layer utilization (Ratio)
board.l3bus.respLayer1.occupancy          11866793208                       # Layer occupancy (ticks) (Tick)
board.l3bus.respLayer1.utilization                0.0                       # Layer utilization (Ratio)
board.l3bus.snoopLayer0.occupancy          1997495830                       # Layer occupancy (ticks) (Tick)
board.l3bus.snoopLayer0.utilization               0.0                       # Layer utilization (Ratio)
