Benchmark,Mode,Total_IPC,L3_Latency_Ticks,XPT_Hits,XPT_Guarded,XPT_Probes,XPT_Evicts
blackscholes,base,0.484324,197490789855.0,1390167.0,0.0,2876562.0,46332.0
blackscholes,id,0.484324,197491423887.0,1390142.0,46412.0,2876562.0,0.0
blackscholes,glo,0.484324,197490806172.0,1390161.0,46383.0,2876562.0,0.0
bodytrack,base,0.43663399999999997,171598903640.0,936031.0,0.0,2358478.0,55126.0
bodytrack,id,0.436996,171160788853.0,952395.0,55985.0,2360960.0,0.0
bodytrack,glo,0.436782,171624678835.0,936723.0,55119.0,2359327.0,0.0
canneal,base,0.10034799999999999,3016702313298.0,2929.0,0.0,33970595.0,28078047.0
canneal,id,0.100351,3016687117842.0,2991.0,28085308.0,33970926.0,0.0
canneal,glo,0.100353,3016752791436.0,2928.0,28086106.0,33971093.0,0.0
dedup,base,0.370835,2080416769065.0,9109841.0,0.0,27247804.0,838688.0
dedup,id,0.375734,2085759197955.0,9239717.0,844752.0,27449828.0,0.0
dedup,glo,0.37036800000000003,2133563279688.0,9208509.0,850119.0,27790830.0,0.0
facesim,base,0.329583,9718849174910.0,61457162.0,0.0,140176244.0,3146549.0
facesim,id,0.32948299999999997,9702608848825.0,61005013.0,3426890.0,140188780.0,0.0
facesim,glo,0.32955999999999996,9722422033142.0,61449763.0,3149842.0,140190026.0,0.0
ferret,base,0.37328300000000003,7002850282523.0,9858519.0,0.0,89591919.0,21939927.0
ferret,id,0.37287800000000004,7048758439080.0,9668653.0,21826267.0,89941650.0,0.0
ferret,glo,0.373674,6965713563083.0,9655485.0,21926463.0,89143396.0,0.0
freqmine,base,0.467436,1172874802815.0,3637173.0,0.0,15660671.0,2471048.0
freqmine,id,0.467814,1185159306681.0,3086859.0,3193921.0,15692233.0,0.0
freqmine,glo,0.467516,1176069377043.0,3630094.0,2477938.0,15672717.0,0.0
raytrace,base,0.50196,159760667079.0,411561.0,0.0,1977409.0,118805.0
raytrace,id,0.501937,160409998098.0,390232.0,134140.0,1978215.0,0.0
raytrace,glo,0.501965,159745432995.0,410573.0,119228.0,1976283.0,0.0
streamcluster,base,0.27601,21476836510821.0,629807.0,0.0,282534149.0,30948883.0
streamcluster,id,0.27598999999999996,21480728180256.0,615993.0,31034234.0,282536685.0,0.0
streamcluster,glo,0.276007,21477632535665.0,629601.0,30963163.0,282538981.0,0.0
swaptions,base,0.526072,3236017743.0,16606.0,0.0,39681.0,1512.0
swaptions,id,0.52607,3241182240.0,16627.0,1592.0,39677.0,0.0
swaptions,glo,0.52607,3256101972.0,16607.0,1588.0,39729.0,0.0
vips,base,0.493714,4904167563358.0,21987958.0,0.0,63207830.0,2281482.0
vips,id,0.4939,4898700632093.0,21984829.0,2254220.0,63151223.0,0.0
vips,glo,0.49361900000000003,4911544256946.0,22002913.0,2278667.0,63300839.0,0.0
x264test,base,0.16794,506508651.0,1221.0,0.0,3840.0,192.0
x264test,id,0.16794,506508651.0,1221.0,278.0,3840.0,0.0
x264test,glo,0.16794,506508651.0,1221.0,249.0,3840.0,0.0
